matrix_cell_id,window_variant_id,processing_profile_id,observational_reference_role,planned_event_count,planned_variant_rows,eligible_count,inadmissible_count,incomplete_count,reference_concordant_baseline_count,transition_count,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_count,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissibility_reason_counts
F3AC048,WEp1,P05,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC049,WEp2,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC049,WEp2,P00,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,6,2,0,0,6,8,0.75,"{""TOO_FEW_CADENCES"":1}"
F3AC050,WEp2,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC050,WEp2,P01,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC051,WEp2,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,17,0,0,17,0,17,17,1.0,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":4}"
F3AC051,WEp2,P02,PUBLISHED_QPP_REFERENCE,61,,13,48,0,8,3,1,2,0,0,1,3,0.3333333333333333,"{""IRREGULAR_SAMPLING"":40,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":2}"
F3AC052,WEp2,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,17,0,0,17,0,17,17,1.0,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":4}"
F3AC052,WEp2,P03,PUBLISHED_QPP_REFERENCE,61,,13,48,0,8,3,1,2,0,0,1,3,0.3333333333333333,"{""IRREGULAR_SAMPLING"":40,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":2}"
F3AC053,WEp2,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC053,WEp2,P04,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,6,2,0,0,6,8,0.75,"{""TOO_FEW_CADENCES"":1}"
F3AC054,WEp2,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC054,WEp2,P05,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC055,WX1,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC055,WX1,P00,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,7,1,0,0,7,8,0.875,"{""TOO_FEW_CADENCES"":1}"
F3AC056,WX1,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC056,WX1,P01,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC057,WX1,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,17,0,0,17,0,17,17,1.0,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":4}"
F3AC057,WX1,P02,PUBLISHED_QPP_REFERENCE,61,,13,48,0,8,3,2,1,0,0,2,3,0.6666666666666666,"{""IRREGULAR_SAMPLING"":40,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":2}"
F3AC058,WX1,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,17,0,0,17,0,17,17,1.0,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":4}"
F3AC058,WX1,P03,PUBLISHED_QPP_REFERENCE,61,,13,48,0,8,3,1,2,0,0,1,3,0.3333333333333333,"{""IRREGULAR_SAMPLING"":40,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":2}"
F3AC059,WX1,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC059,WX1,P04,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,6,2,0,0,6,8,0.75,"{""TOO_FEW_CADENCES"":1}"
F3AC060,WX1,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC060,WX1,P05,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":1}"
F3AC061,WC1,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,51,10,0,57,51,0,0,51,0,51,51,1.0,"{""TOO_FEW_CADENCES"":10}"
F3AC061,WC1,P00,PUBLISHED_QPP_REFERENCE,61,,53,8,0,8,7,7,0,0,0,7,7,1.0,"{""TOO_FEW_CADENCES"":8}"
F3AC062,WC1,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,51,10,0,57,51,0,0,51,0,51,51,1.0,"{""TOO_FEW_CADENCES"":10}"
F3AC062,WC1,P01,PUBLISHED_QPP_REFERENCE,61,,53,8,0,8,7,4,3,0,0,4,7,0.5714285714285714,"{""TOO_FEW_CADENCES"":8}"
F3AC063,WC1,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,14,47,0,57,14,0,0,14,0,14,14,1.0,"{""IRREGULAR_SAMPLING"":31,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":11}"
F3AC063,WC1,P02,PUBLISHED_QPP_REFERENCE,61,,12,49,0,8,3,3,0,0,0,3,3,1.0,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":8}"
