simulation_unit_id,background_realization_id,truth_state,evidence_plane,gap_quality_regime,retained_cadences,finite_time_flux,strictly_increasing_time,native_indices_consecutive,no_duplicate_times,no_duplicate_native_indices,regular_cadence_tolerance_s,peak_retained,all_triggered_reasons,primary_inadmissibility_reason,irregular_sampling_details,input_state,materialization_status
F3BBG_N015_A0_Q001_R039:POS:PRIMARY,F3BBG_N015_A0_Q001_R039,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R040:NULL:PRIMARY,F3BBG_N015_A0_Q001_R040,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R040:POS:PRIMARY,F3BBG_N015_A0_Q001_R040,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R041:NULL:PRIMARY,F3BBG_N015_A0_Q001_R041,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R041:POS:PRIMARY,F3BBG_N015_A0_Q001_R041,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R044:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R044,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R044:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R044,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R044:NULL:PRIMARY,F3BBG_N015_A0_Q001_R044,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R044:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R044,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R044:POS:PEAKMASK,F3BBG_N015_A0_Q001_R044,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R044:POS:PRIMARY,F3BBG_N015_A0_Q001_R044,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R047:NULL:PRIMARY,F3BBG_N015_A0_Q001_R047,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R047:POS:PRIMARY,F3BBG_N015_A0_Q001_R047,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R053:NULL:PRIMARY,F3BBG_N015_A0_Q001_R053,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R053:POS:PRIMARY,F3BBG_N015_A0_Q001_R053,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R054:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R054,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R054:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R054,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R054:NULL:PRIMARY,F3BBG_N015_A0_Q001_R054,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R054:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R054,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R054:POS:PEAKMASK,F3BBG_N015_A0_Q001_R054,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R054:POS:PRIMARY,F3BBG_N015_A0_Q001_R054,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R055:NULL:PRIMARY,F3BBG_N015_A0_Q001_R055,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R055:POS:PRIMARY,F3BBG_N015_A0_Q001_R055,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R059:NULL:PRIMARY,F3BBG_N015_A0_Q001_R059,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R059:POS:PRIMARY,F3BBG_N015_A0_Q001_R059,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R062:NULL:PRIMARY,F3BBG_N015_A0_Q001_R062,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R062:POS:PRIMARY,F3BBG_N015_A0_Q001_R062,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R063:NULL:PRIMARY,F3BBG_N015_A0_Q001_R063,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R063:POS:PRIMARY,F3BBG_N015_A0_Q001_R063,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R065:NULL:PRIMARY,F3BBG_N015_A0_Q001_R065,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R065:POS:PRIMARY,F3BBG_N015_A0_Q001_R065,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R067:NULL:PRIMARY,F3BBG_N015_A0_Q001_R067,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R067:POS:PRIMARY,F3BBG_N015_A0_Q001_R067,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R070:NULL:PRIMARY,F3BBG_N015_A0_Q001_R070,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R070:POS:PRIMARY,F3BBG_N015_A0_Q001_R070,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R071:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R071,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R071:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R071,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R071:NULL:PRIMARY,F3BBG_N015_A0_Q001_R071,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R071:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R071,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R071:POS:PEAKMASK,F3BBG_N015_A0_Q001_R071,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R071:POS:PRIMARY,F3BBG_N015_A0_Q001_R071,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R072:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R072,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R072:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R072,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R072:NULL:PRIMARY,F3BBG_N015_A0_Q001_R072,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R072:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R072,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R072:POS:PEAKMASK,F3BBG_N015_A0_Q001_R072,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R072:POS:PRIMARY,F3BBG_N015_A0_Q001_R072,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R073:NULL:PRIMARY,F3BBG_N015_A0_Q001_R073,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R073:POS:PRIMARY,F3BBG_N015_A0_Q001_R073,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R074:NULL:PRIMARY,F3BBG_N015_A0_Q001_R074,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R074:POS:PRIMARY,F3BBG_N015_A0_Q001_R074,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R076:NULL:PRIMARY,F3BBG_N015_A0_Q001_R076,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R076:POS:PRIMARY,F3BBG_N015_A0_Q001_R076,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R077:NULL:PRIMARY,F3BBG_N015_A0_Q001_R077,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R077:POS:PRIMARY,F3BBG_N015_A0_Q001_R077,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R079:NULL:PRIMARY,F3BBG_N015_A0_Q001_R079,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R079:POS:PRIMARY,F3BBG_N015_A0_Q001_R079,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R080:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R080,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R080:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R080,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R080:NULL:PRIMARY,F3BBG_N015_A0_Q001_R080,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R080:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R080,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,True,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R080:POS:PEAKMASK,F3BBG_N015_A0_Q001_R080,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,14,True,True,False,True,True,0.001,False,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,retained_indices_not_consecutive|interval_deviation_gt_0.001_s,INPUT_INADMISSIBLE,MATERIALIZED
F3BBG_N015_A0_Q001_R080:POS:PRIMARY,F3BBG_N015_A0_Q001_R080,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R082:NULL:PRIMARY,F3BBG_N015_A0_Q001_R082,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R082:POS:PRIMARY,F3BBG_N015_A0_Q001_R082,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R084:NULL:PRIMARY,F3BBG_N015_A0_Q001_R084,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R084:POS:PRIMARY,F3BBG_N015_A0_Q001_R084,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R087:NULL:PRIMARY,F3BBG_N015_A0_Q001_R087,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R087:POS:PRIMARY,F3BBG_N015_A0_Q001_R087,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R092:NULL:PRIMARY,F3BBG_N015_A0_Q001_R092,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R092:POS:PRIMARY,F3BBG_N015_A0_Q001_R092,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R093:NULL:PRIMARY,F3BBG_N015_A0_Q001_R093,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R093:POS:PRIMARY,F3BBG_N015_A0_Q001_R093,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R094:NULL:PRIMARY,F3BBG_N015_A0_Q001_R094,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R094:POS:PRIMARY,F3BBG_N015_A0_Q001_R094,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
